question,answer,page,category,made_date
この公園はいつも静かで、今日はとても混んでいます。,"This park is usually quiet, but it's very crowded today!",P88,textbook,2022-04-08
ここにはよくきますか？,Do you often come here?,P88,textbook,2022-04-08
私は犬と一緒に池の近くを走ります。,I jog with my dog around the pond.,P88,textbook,2022-04-08
はい,Yes.,P88,textbook,2022-04-08
見えた！,Look!,P88,textbook,2022-04-08
メグはベンチの近くにいます。,Meg is by the bench.,P88,textbook,2022-04-08
あそこにいます,Over there.,P88,textbook,2022-04-08
ベンチは木の下にあります,The bench under the tree.,P88,textbook,2022-04-08
オー！ハイ、メグ！,"Oh. Hi, Meg!",P88,textbook,2022-04-08
いい浴衣ですね,Nice yukata.,P88,textbook,2022-04-08
あなたの髪も好きですよ。,"I like your hair, too.",P88,textbook,2022-04-08
ありがとう,Thank you.,P88,textbook,2022-04-08
海斗はどこですか?,Where's Kaito?,P88,textbook,2022-04-08
黒い浴衣を着ている男の子が海斗だよ,The boy in the black yukata is Kaito.,P88,textbook,2022-04-08
ジョシュあなたは踊るのが上手ですね！,"Josh, you're good at dancing!",P88,textbook,2022-04-08
ありがとう。踊ることが好きなんだ,Thanks. I like dancing.,P88,textbook,2022-04-08
おいで朝美。一緒に踊ろう,"Come on, Asami. Let's dance together.",P88,textbook,2022-04-08
ううん。私はいいわ。,"Umm. No, thank you.",P88,textbook,2022-04-08
私は踊るのが下手なの,I'm not good at dancing.,P88,textbook,2022-04-08
怖がらないで、君なら踊れるよ!,Don't be shy. You can do it!,P88,textbook,2022-04-08
わかった,OK.,P88,textbook,2022-04-08
オー、私はお腹が空きました,"Oh, I'm hungry.",P88,textbook,2022-04-08
何か食べましょう,Let's eat something.,P88,textbook,2022-04-08
私は焼きそばが食べたいです,"I want to have yakisoba, fried noodles.",P88,textbook,2022-04-08
それはいいアイデアですね,That's good idea.,P88,textbook,2022-04-08
私は喉も渇きました,"I'm thirsty, too.",P88,textbook,2022-04-08
私はジュースが欲しいです,I need some juice.,P88,textbook,2022-04-08
She studies Japanese on weekends.,"I went to the summer festival with Asami, Josh, and Kaito.",P88,textbook,2022-04-08
私たちはそこでダンスを楽しみました,We enjoyed dancing there.,P88,textbook,2022-04-08
私は大きなリンゴ飴を食べました,I ate a big candy apple.,P88,textbook,2022-04-08
それはおいしかったです,It was delicious.,P88,textbook,2022-04-08
私たちは祭りの最後にたくさんの素敵な花火を見ました,"At the end of the festival, we saw lots of wonderful fireworks.",P88,textbook,2022-04-08
私たちは素敵な時間を過ごしました,We had a great time.,P88,textbook,2022-04-08
オーストラリアの夏は12月と2月の間です,"In Australia, summer is from December to February.",P88,textbook,2022-04-08
一月にシドニーの祭りに行きました,I went to Sydney Festival in January.,P88,textbook,2022-04-08
私は今年２回の祭りを楽しみました,So I enjoyed two summer festivals this year!,P88,textbook,2022-04-08
こんにちわみなさん,"Hello, everyone.",P88,textbook,2022-04-08
この写真を見てください,Look at this picture.,P88,textbook,2022-04-08
これはたくやで僕の兄です,"This is Takuya, my brother.",P88,textbook,2022-04-08
彼は20歳です,He's twenty years old. ,P88,textbook,2022-04-08
彼はフィリピンのセブに住んでいます,"He lives in Cebu, the Philippines.",P88,textbook,2022-04-08
